artist_name;artist_pop;track_name;track_pop;album;key;mode;tempo;duration_ms;time_signature;energy;danceability;instrumentalness
Diplo;79.0;On My Mind;24.0;On My Mind (Remixes);7.0;1.0;123.026;189268.0;4.0;0.73;0.774;0.675
Zonderling;57.0;Breng;40.0;Breng;2.0;0.0;124.02;313548.0;4.0;0.781;0.788;0.305
Tom Staar;43.0;Flames;31.0;Flames;11.0;0.0;126.014;198095.0;4.0;0.97;0.592;0.0191
Ben Böhmer;64.0;Home;55.0;Begin Again;6.0;1.0;120.012;213507.0;4.0;0.444;0.601;0.00175
BOII;31.0;Shelter;18.0;Shelter;9.0;0.0;120.0;255507.0;4.0;0.713;0.755;0.197
Kasablanca;50.0;Volition;31.0;Cronus / Volition;4.0;0.0;123.995;292444.0;4.0;0.865;0.668;0.822
MATVEÏ;45.0;OVERDOSE;0.0;FALL: OVERDOSE x RUMBA;9.0;1.0;119.878;153000.0;4.0;0.465;0.877;0.00069
Marcus Layton;56.0;Sweet Dreams;64.0;Sweet Dreams;0.0;0.0;121.982;151989.0;4.0;0.714;0.732;1.05e-06
Harrison;58.0;Breathe Me In;61.0;Breathe Me In;0.0;0.0;125.022;178420.0;4.0;0.889;0.712;0.00384
Mahmut Orhan;57.0;6 Days;57.0;ONE;7.0;1.0;104.998;260560.0;4.0;0.699;0.776;0.195
Le Youth;57.0;About Us (feat. EMME);55.0;About Us (feat. EMME);5.0;0.0;122.0;286520.0;4.0;0.694;0.631;0.774
Crvvcks;40.0;Colours;51.0;Colours;4.0;0.0;124.037;161551.0;4.0;0.912;0.598;0.318
CamelPhat;65.0;Cola;73.0;Cola;6.0;1.0;122.007;223869.0;3.0;0.74;0.706;0.512
Monolink;60.0;Don't Hold Back - Edit;38.0;Don't Hold Back (Edit);5.0;0.0;119.994;270539.0;4.0;0.736;0.613;0.711
Tchami;62.0;Ghosts (feat. Hana);43.0;Year Zero;6.0;1.0;123.999;296342.0;4.0;0.876;0.679;0.851
JYYE;47.0;Attraction;50.0;Attraction;6.0;0.0;121.998;172250.0;4.0;0.815;0.753;0.598
Lost Frequencies;76.0;Here With You;49.0;Less Is More (Deluxe);3.0;0.0;176.508;159024.0;4.0;0.774;0.35;0.000124
KREAM;61.0;About You;59.0;About You;8.0;1.0;124.983;159400.0;4.0;0.82;0.711;0.48
Disclosure;73.0;You & Me - Flume Remix;73.0;Settle (Special Edition);10.0;0.0;75.065;282813.0;4.0;0.392;0.593;0.000114
